time;open;high;low;close;volume
Apr 20 2010;277.35;280.10;275.80;277.79;5,948,800
Apr 21 2010;278.50;280.40;276.35;277.42;4,778,200
Apr 22 2010;276.27;276.52;271.94;273.80;6,554,800
Apr 23 2010;273.89;274.93;271.40;272.76;4,174,600
Apr 26 2010;272.75;272.76;264.86;266.08;8,728,800
Apr 27 2010;264.73;269.43;263.87;264.79;7,681,700
Apr 28 2010;266.31;267.67;260.77;264.85;6,805,300
Apr 29 2010;266.94;268.51;263.59;266.26;6,111,600
Apr 30 2010;265.82;269.10;262.97;263.10;4,865,900
May 03 2010;263.51;266.72;262.79;265.56;3,711,800
May 04 2010;263.52;263.63;252.35;253.43;12,140,400
May 05 2010;250.73;258.11;250.48;255.13;9,155,200
May 06 2010;254.62;259.01;230.22;249.58;9,990,100
May 07 2010;250.23;252.90;240.90;246.81;10,167,800
May 10 2010;257.23;261.66;256.55;261.08;8,247,700
May 11 2010;258.08;260.19;254.36;254.77;6,638,500
May 12 2010;256.27;256.27;251.24;252.94;7,695,800
May 13 2010;258.50;261.25;255.43;255.69;6,644,900
May 14 2010;255.13;255.74;248.37;254.01;8,223,700
May 17 2010;253.64;254.43;249.42;254.23;5,582,000
May 18 2010;255.25;255.73;248.78;249.43;5,645,300
May 19 2010;248.37;249.96;244.11;247.45;6,884,500
May 20 2010;242.77;243.03;237.13;237.74;9,816,700
May 21 2010;234.76;242.74;232.43;236.25;19,362,200
May 24 2010;240.60;245.13;238.63;238.81;8,682,500
May 25 2010;234.30;238.96;232.23;238.77;6,028,700
May 26 2010;241.27;245.12;237.73;237.97;6,944,200
May 27 2010;242.71;246.39;240.76;245.47;5,612,500
May 28 2010;246.61;246.96;241.73;243.05;5,783,800
Jun 01 2010;240.45;245.77;240.29;241.42;5,328,200
Jun 02 2010;243.58;247.17;240.96;246.92;5,076,500
Jun 03 2010;247.79;254.25;247.59;253.05;7,294,000
Jun 04 2010;250.10;254.87;248.59;249.60;7,832,700
Jun 07 2010;249.77;250.70;241.81;243.00;7,258,100
Jun 08 2010;244.16;244.66;239.00;242.62;5,364,800
Jun 09 2010;243.85;244.68;236.23;237.24;5,452,500
Jun 10 2010;240.42;244.49;238.15;243.74;5,150,600
Jun 11 2010;241.48;244.59;241.04;244.49;3,559,800
Jun 14 2010;247.48;247.49;241.83;241.83;4,076,700
Jun 15 2010;241.77;250.44;241.32;249.24;8,510,600
Jun 16 2010;248.33;252.24;248.30;250.88;4,574,000
Jun 17 2010;251.97;253.18;248.59;250.28;3,950,600
Jun 18 2010;251.50;251.98;249.31;250.26;5,740,000
Jun 21 2010;250.19;250.73;242.68;244.52;5,961,000
Jun 22 2010;245.19;248.54;243.10;243.36;4,434,900
Jun 23 2010;243.68;243.68;239.31;241.26;4,054,100
Jun 24 2010;240.06;241.61;236.86;237.78;3,783,400
Jun 25 2010;238.76;239.06;235.51;236.57;4,485,900
Jun 28 2010;236.52;239.01;234.73;236.27;3,521,000
Jun 29 2010;231.94;232.50;225.78;227.35;6,997,100
Jun 30 2010;227.70;229.14;222.58;222.69;7,199,100
Jul 01 2010;222.86;224.42;217.03;219.96;7,020,100
Jul 02 2010;221.02;221.35;218.21;218.49;3,868,100
Jul 06 2010;222.22;224.05;217.03;218.25;5,115,000
Jul 07 2010;219.37;225.86;217.90;225.32;6,253,100
Jul 08 2010;226.99;228.89;225.05;228.50;5,332,400
Jul 09 2010;236.21;236.86;231.61;233.97;8,654,300
Jul 12 2010;236.41;239.95;235.77;238.15;6,662,100
Jul 13 2010;241.36;246.73;240.37;244.84;7,944,600
Jul 14 2010;245.18;247.15;243.47;245.91;6,229,700
Jul 15 2010;246.10;247.59;241.57;247.25;9,706,600
Jul 16 2010;234.79;235.51;229.98;230.03;15,633,900
Jul 19 2010;230.73;235.05;228.98;233.32;9,091,400
Jul 20 2010;230.74;241.73;230.52;241.03;8,100,800
Jul 21 2010;242.23;243.09;237.95;238.98;6,552,600
Jul 22 2010;241.85;244.73;241.47;242.64;4,291,100
Jul 23 2010;240.62;245.53;240.24;245.27;4,524,200
Jul 26 2010;244.78;245.61;242.67;244.72;3,986,400
Jul 27 2010;245.53;248.99;245.32;246.55;4,897,400
Jul 28 2010;247.71;247.87;241.57;242.41;4,987,000
Jul 29 2010;243.21;244.68;239.90;242.73;5,345,600
Jul 30 2010;240.06;243.92;239.80;242.66;4,283,900
Aug 02 2010;244.73;246.88;243.71;245.44;3,713,600
Aug 03 2010;245.49;246.47;243.62;245.15;3,600,900
Aug 04 2010;246.33;253.75;245.76;253.41;7,617,300
Aug 05 2010;253.19;254.55;252.02;254.30;4,835,900
Aug 06 2010;252.94;253.12;248.27;250.35;6,632,300
Aug 09 2010;251.37;252.99;250.92;252.92;3,740,600
Aug 10 2010;251.42;253.25;249.53;252.10;4,143,800
Aug 11 2010;249.11;249.24;245.99;246.11;4,441,500
Aug 12 2010;242.20;247.61;241.49;246.24;4,404,700
Aug 13 2010;244.74;245.83;243.24;243.41;3,865,500
Aug 16 2010;242.07;245.17;240.48;243.03;2,607,300
Aug 17 2010;244.50;247.59;243.25;245.50;3,777,600
Aug 18 2010;245.46;245.67;241.01;241.31;5,367,400
Aug 19 2010;240.74;241.49;233.85;234.21;7,842,100
Aug 20 2010;234.21;236.02;230.73;231.23;7,827,300
Aug 23 2010;230.97;234.35;229.09;232.26;5,966,400
Aug 24 2010;229.07;229.41;225.68;225.91;5,519,800
Aug 25 2010;225.22;229.13;225.22;227.53;5,179,000
Aug 26 2010;228.25;228.85;225.44;225.71;3,550,400
Aug 27 2010;226.50;230.22;224.04;229.64;4,620,100
Aug 30 2010;229.80;230.10;226.43;226.56;2,460,300
Aug 31 2010;225.27;227.66;224.22;225.23;3,889,700
Sep 01 2010;227.71;232.70;226.47;230.39;3,237,824
Sep 02 2010;231.64;232.44;230.38;231.81;1,685,384
Sep 03 2010;235.49;236.17;233.95;235.38;2,545,726
Sep 07 2010;232.48;234.02;231.73;232.43;1,711,335
Sep 08 2010;232.82;236.48;232.48;235.52;2,409,028
Sep 09 2010;239.15;240.43;235.52;238.32;2,435,299
Sep 10 2010;239.74;240.13;237.77;238.30;1,974,340
Sep 13 2010;240.68;242.41;240.00;241.37;2,245,650
Sep 14 2010;241.24;242.61;240.27;240.45;2,218,739
Sep 15 2010;240.21;241.18;239.48;240.55;2,403,545
Sep 16 2010;240.21;241.46;239.94;240.76;1,972,569
Sep 17 2010;242.11;245.84;240.82;245.31;5,649,448
Sep 20 2010;246.49;255.45;246.27;254.39;4,413,416
Sep 21 2010;255.09;260.24;254.70;256.98;4,467,227
Sep 22 2010;256.68;259.14;256.09;258.25;2,537,779
Sep 23 2010;257.55;260.10;255.90;256.99;2,317,644
Sep 24 2010;261.12;264.17;259.38;263.90;3,363,247
Sep 27 2010;264.68;268.68;264.68;265.46;3,107,622
Sep 28 2010;267.00;267.05;259.48;263.84;3,654,832
Sep 29 2010;264.18;266.73;262.61;264.10;2,173,878
Sep 30 2010;264.84;266.19;259.71;263.15;3,244,626
Oct 01 2010;265.26;265.57;261.75;263.06;2,226,112
Oct 04 2010;262.73;264.38;259.68;261.43;1,940,494
Oct 05 2010;264.45;270.26;263.53;269.38;3,507,302
Oct 06 2010;269.89;270.24;265.23;267.43;2,766,690
Oct 07 2010;268.36;268.86;264.83;265.26;2,398,910
Oct 08 2010;266.64;269.06;264.07;268.43;2,863,473
Oct 11 2010;269.50;272.56;268.85;269.68;2,631,310
Oct 12 2010;270.32;273.26;269.16;270.96;3,757,178
Oct 13 2010;273.77;274.01;271.43;271.91;3,060,836
Oct 14 2010;272.35;272.89;268.82;270.73;6,634,018
Oct 15 2010;299.93;301.11;296.09;301.02;14,824,722
Oct 18 2010;300.57;310.15;300.57;309.15;7,109,313
Oct 19 2010;304.72;307.71;301.72;304.21;4,591,178
Oct 20 2010;304.36;308.99;304.04;304.28;3,526,976
Oct 21 2010;306.05;308.30;303.29;306.29;2,923,627
Oct 22 2010;306.26;307.71;305.32;306.56;2,256,598
Oct 25 2010;308.09;312.67;307.78;308.55;3,158,700
Oct 26 2010;306.85;310.92;305.81;309.60;2,513,633
Oct 27 2010;308.18;310.30;306.46;308.53;2,242,414
Oct 28 2010;310.33;310.80;306.95;309.59;2,187,396
Oct 29 2010;308.83;309.80;306.79;307.15;2,281,279
Nov 01 2010;308.16;310.63;305.90;307.80;3,088,417
Nov 02 2010;309.63;310.30;307.59;308.10;1,999,774
Nov 03 2010;309.05;311.22;307.05;310.39;3,382,183
Nov 04 2010;312.62;315.27;311.35;312.44;3,571,173
Nov 05 2010;311.89;313.05;310.86;312.84;1,766,546
Nov 08 2010;312.86;315.05;311.87;313.69;2,102,262
Nov 09 2010;315.31;315.73;310.56;312.71;2,240,293
Nov 10 2010;311.34;311.80;309.05;311.74;2,499,828
Nov 11 2010;310.15;310.23;307.40;308.89;2,262,019
Nov 12 2010;307.29;308.75;300.90;301.94;3,395,209
Nov 15 2010;301.83;302.29;297.31;298.02;3,480,120
Nov 16 2010;296.67;299.23;292.01;292.14;3,308,665
Nov 17 2010;292.78;295.04;290.97;292.06;2,442,412
Nov 18 2010;294.79;300.28;294.57;298.57;2,590,876
Nov 19 2010;298.79;299.23;295.46;295.70;2,298,978
Nov 22 2010;294.02;297.01;291.66;295.90;2,186,511
Nov 23 2010;293.79;294.79;289.38;291.79;2,166,947
Nov 24 2010;293.94;298.59;293.81;297.77;2,400,863
Nov 26 2010;295.52;296.78;293.78;295.29;1,311,038
Nov 29 2010;294.87;295.19;290.26;291.34;2,859,953
Nov 30 2010;287.44;287.44;276.92;278.12;7,117,385
Dec 01 2010;281.77;286.06;281.47;282.45;3,757,609
Dec 02 2010;284.61;286.94;282.95;286.19;2,550,572
Dec 03 2010;285.00;288.52;284.28;286.78;2,633,126
Dec 06 2010;290.57;291.28;288.58;289.46;2,095,525
Dec 07 2010;295.92;296.79;293.28;293.85;3,047,879
Dec 08 2010;296.27;296.55;292.13;295.56;1,757,126
Dec 09 2010;297.23;298.08;294.79;296.04;1,868,972
Dec 10 2010;296.86;297.28;295.43;296.39;1,705,121
Dec 13 2010;298.85;301.79;297.33;297.60;2,403,442
Dec 14 2010;298.83;299.43;296.53;297.74;1,643,253
Dec 15 2010;297.39;298.51;294.86;295.44;2,168,131
Dec 16 2010;296.71;297.17;294.32;296.14;1,596,820
Dec 17 2010;295.79;296.57;294.12;295.69;3,089,328
Dec 20 2010;297.61;299.23;294.61;297.82;1,973,768
Dec 21 2010;299.58;302.65;299.10;301.83;1,881,688
Dec 22 2010;302.29;303.79;301.93;303.04;1,207,929
Dec 23 2010;302.96;303.29;301.31;302.41;1,111,192
Dec 27 2010;301.66;302.18;300.04;301.48;1,208,128
Dec 28 2010;301.32;302.23;299.29;299.75;1,064,746
Dec 29 2010;301.29;301.50;299.75;300.79;1,019,823
Dec 30 2010;299.29;300.96;298.98;299.72;989,479
Dec 31 2010;298.66;299.50;296.30;297.27;1,541,459
Jan 03 2011;298.53;303.09;298.53;302.47;2,366,286
Jan 04 2011;303.10;303.38;300.35;301.35;1,825,499
Jan 05 2011;300.33;305.46;300.32;304.83;2,532,225
Jan 06 2011;305.64;309.51;305.32;307.05;2,058,176
Jan 07 2011;308.25;309.42;305.36;308.52;2,101,270
Jan 10 2011;307.70;307.99;304.57;307.40;1,581,069
Jan 11 2011;309.15;309.70;307.55;308.30;1,440,991
Jan 12 2011;309.98;309.98;307.68;308.73;1,632,698
Jan 13 2011;308.78;310.14;307.38;308.64;1,333,947
Jan 14 2011;309.00;312.44;308.84;312.39;2,370,328
Jan 18 2011;313.33;321.31;312.94;320.12;3,620,063
Jan 19 2011;321.37;321.79;315.14;316.18;3,412,573
Jan 20 2011;316.41;317.35;311.95;313.69;5,485,733
Jan 21 2011;320.10;321.18;305.98;306.21;8,904,357
Jan 24 2011;304.08;306.54;300.91;305.84;4,604,997
Jan 25 2011;304.39;310.65;303.55;310.26;3,647,644
Jan 26 2011;310.47;311.55;307.94;308.55;2,041,746
Jan 27 2011;309.24;310.15;306.92;308.69;2,019,427
Jan 28 2011;309.84;310.48;300.17;300.79;4,233,962
Jan 31 2011;302.09;302.53;298.06;300.47;2,810,069
Feb 01 2011;302.54;306.97;301.85;305.82;2,745,862
Feb 02 2011;305.80;307.47;304.06;306.30;1,760,755
Feb 03 2011;305.04;306.02;303.36;305.37;1,497,474
Feb 04 2011;305.37;306.02;303.60;305.79;1,552,505
Feb 07 2011;305.38;309.49;304.90;307.45;1,802,017
Feb 08 2011;307.76;310.11;307.55;309.49;1,696,452
Feb 09 2011;308.73;310.03;306.47;308.55;1,843,394
Feb 10 2011;307.25;309.05;306.08;308.52;2,336,117
Feb 11 2011;307.19;312.80;306.80;312.55;2,593,390
Feb 14 2011;311.97;315.12;310.32;314.38;2,131,868
Feb 15 2011;313.96;315.35;311.85;312.38;2,092,614
Feb 16 2011;313.12;313.55;311.35;312.41;1,686,963
Feb 17 2011;310.93;313.93;310.44;312.93;1,479,175
Feb 18 2011;313.30;315.90;312.39;315.35;3,217,815
Feb 22 2011;310.32;312.77;304.18;305.40;3,642,208
Feb 23 2011;305.46;307.65;302.29;305.96;2,891,878
Feb 24 2011;305.99;306.84;300.97;304.71;2,712,959
Feb 25 2011;306.23;307.66;305.05;305.32;1,935,852
Feb 28 2011;305.30;308.54;304.30;307.00;2,284,336
Mar 01 2011;309.19;309.91;299.94;300.67;3,323,575
Mar 02 2011;300.19;303.29;297.88;300.69;2,026,933
Mar 03 2011;303.48;306.04;302.79;305.08;1,949,335
Mar 04 2011;304.46;304.79;300.39;300.60;3,011,542
Mar 07 2011;300.57;302.14;293.78;296.12;3,461,738
Mar 08 2011;296.75;299.28;295.39;296.44;2,287,771
Mar 09 2011;295.79;297.54;293.16;296.17;2,150,991
Mar 10 2011;293.00;293.59;290.01;290.43;3,127,211
Mar 11 2011;289.39;290.28;286.94;288.63;3,029,401
Mar 14 2011;286.68;289.43;284.29;285.27;2,813,969
Mar 15 2011;279.02;285.78;278.02;285.06;4,006,381
Mar 16 2011;284.28;285.17;275.91;278.82;3,800,712
Mar 17 2011;282.51;284.78;280.54;280.95;2,899,727
Mar 18 2011;282.59;284.27;280.14;280.80;3,302,850
Mar 21 2011;285.39;290.18;284.79;288.53;3,022,174
Mar 22 2011;288.91;289.90;286.53;288.94;1,887,185
Mar 23 2011;287.87;291.51;286.28;291.36;1,816,164
Mar 24 2011;293.00;294.48;289.68;293.73;2,097,978
Mar 25 2011;293.72;293.74;289.90;290.15;2,859,497
Mar 28 2011;291.32;292.78;287.63;287.96;2,218,910
Mar 29 2011;288.28;291.23;286.78;291.15;1,605,138
Mar 30 2011;292.47;293.03;290.57;291.20;1,422,475
Mar 31 2011;291.78;294.37;291.15;293.66;2,031,385
Apr 01 2011;294.67;297.88;294.67;296.19;2,613,266
Apr 04 2011;296.79;297.66;291.83;294.12;2,054,817
Apr 05 2011;290.82;291.03;283.11;284.82;6,048,187
Apr 06 2011;286.37;287.86;284.28;287.37;2,668,385
Apr 07 2011;288.14;290.60;287.37;290.28;2,531,975
Apr 08 2011;292.73;292.73;289.31;289.36;1,902,581
Apr 11 2011;288.38;289.33;286.78;288.96;1,858,382
Apr 12 2011;287.78;288.74;284.30;285.58;2,085,766
Apr 13 2011;288.03;289.08;286.15;288.42;2,071,646
Apr 14 2011;287.87;290.01;286.33;289.54;5,456,289
Apr 15 2011;272.91;273.14;265.29;265.61;14,050,013
Apr 18 2011;263.47;264.09;259.75;263.68;5,041,089
Apr 19 2011;265.23;265.70;260.70;261.02;2,685,395
Apr 20 2011;263.20;263.67;260.95;263.12;3,059,160
Apr 21 2011;264.00;264.40;261.45;262.80;2,471,056
Apr 25 2011;262.88;263.76;261.26;262.78;1,629,933
Apr 26 2011;263.52;268.98;262.86;266.67;3,530,591
Apr 27 2011;269.26;269.32;267.43;269.14;2,297,840
Apr 28 2011;269.29;269.89;267.30;269.25;2,037,378
Apr 29 2011;270.26;272.31;269.52;272.31;4,228,467
May 02 2011;273.11;273.13;268.82;269.54;2,133,972
May 03 2011;268.83;271.27;265.07;267.20;2,081,574
May 04 2011;267.84;269.76;266.77;268.15;2,116,955
May 05 2011;267.19;269.97;266.01;267.39;1,997,054
May 06 2011;269.34;270.99;267.85;267.91;2,056,186
May 09 2011;267.76;269.51;265.81;269.10;1,947,419
May 10 2011;270.26;272.48;269.03;271.59;2,041,355
May 11 2011;270.33;272.04;267.10;267.98;2,338,875
